Place_Name,Total_covid_count,State
longding district,10269,arunachal-pradesh
west siang district,11889,arunachal-pradesh
kamle district,677,arunachal-pradesh
upper siang district,1419,arunachal-pradesh
tirap district,11249,arunachal-pradesh
papum pare district,117940,arunachal-pradesh
kurung kumey district,1579,arunachal-pradesh
anjaw district,4230,arunachal-pradesh
siang district,2640,arunachal-pradesh
lower siang district,5348,arunachal-pradesh
kra daadi district,2187,arunachal-pradesh
changlang district,29218,arunachal-pradesh
pakke kessang district,977,arunachal-pradesh
dibang valley district,202,arunachal-pradesh
west kameng district,53939,arunachal-pradesh
shi yomi district,27,arunachal-pradesh
east siang district,22611,arunachal-pradesh
upper subansiri district,7803,arunachal-pradesh
east kameng district,3814,arunachal-pradesh
lohit district,24505,arunachal-pradesh
lepa rada district,2928,arunachal-pradesh
tawang district,24097,arunachal-pradesh
namsai district,13453,arunachal-pradesh
lower dibang valley district,10376,arunachal-pradesh
lower subansiri district,11806,arunachal-pradesh
longding district,11018,arunachal-pradesh
west siang district,14581,arunachal-pradesh
kamle district,999,arunachal-pradesh
upper siang district,4165,arunachal-pradesh
tirap district,16459,arunachal-pradesh
papum pare district,143272,arunachal-pradesh
kurung kumey district,1343,arunachal-pradesh
anjaw district,5417,arunachal-pradesh
siang district,4756,arunachal-pradesh
lower siang district,6628,arunachal-pradesh
kra daadi district,2830,arunachal-pradesh
changlang district,33963,arunachal-pradesh
pakke kessang district,1194,arunachal-pradesh
dibang valley district,267,arunachal-pradesh
west kameng district,66740,arunachal-pradesh
shi yomi district,232,arunachal-pradesh
east siang district,26605,arunachal-pradesh
upper subansiri district,9285,arunachal-pradesh
east kameng district,5646,arunachal-pradesh
lohit district,29281,arunachal-pradesh
lepa rada district,4245,arunachal-pradesh
tawang district,30077,arunachal-pradesh
namsai district,18290,arunachal-pradesh
lower dibang valley district,14400,arunachal-pradesh
lower subansiri district,15770,arunachal-pradesh
longding district,13240,arunachal-pradesh
west siang district,19728,arunachal-pradesh
kamle district,1434,arunachal-pradesh
upper siang district,7055,arunachal-pradesh
tirap district,18369,arunachal-pradesh
papum pare district,180373,arunachal-pradesh
kurung kumey district,2294,arunachal-pradesh
anjaw district,5025,arunachal-pradesh
siang district,5136,arunachal-pradesh
lower siang district,8047,arunachal-pradesh
kra daadi district,3407,arunachal-pradesh
changlang district,43858,arunachal-pradesh
pakke kessang district,2044,arunachal-pradesh
dibang valley district,397,arunachal-pradesh
west kameng district,75363,arunachal-pradesh
shi yomi district,117,arunachal-pradesh
east siang district,33743,arunachal-pradesh
upper subansiri district,12313,arunachal-pradesh
east kameng district,7379,arunachal-pradesh
lohit district,36985,arunachal-pradesh
lepa rada district,5721,arunachal-pradesh
tawang district,31865,arunachal-pradesh
namsai district,23112,arunachal-pradesh
lower dibang valley district,26234,arunachal-pradesh
lower subansiri district,25703,arunachal-pradesh
longding district,20664,arunachal-pradesh
west siang district,32777,arunachal-pradesh
kamle district,2397,arunachal-pradesh
upper siang district,10899,arunachal-pradesh
tirap district,28830,arunachal-pradesh
papum pare district,221728,arunachal-pradesh
kurung kumey district,3847,arunachal-pradesh
anjaw district,7617,arunachal-pradesh
siang district,9827,arunachal-pradesh
lower siang district,13321,arunachal-pradesh
kra daadi district,5264,arunachal-pradesh
changlang district,69279,arunachal-pradesh
pakke kessang district,3558,arunachal-pradesh
dibang valley district,966,arunachal-pradesh
west kameng district,95421,arunachal-pradesh
shi yomi district,302,arunachal-pradesh
east siang district,55680,arunachal-pradesh
upper subansiri district,18056,arunachal-pradesh
east kameng district,11791,arunachal-pradesh
lohit district,56541,arunachal-pradesh
lepa rada district,8601,arunachal-pradesh
tawang district,44499,arunachal-pradesh
namsai district,34972,arunachal-pradesh
lower dibang valley district,27655,arunachal-pradesh
lower subansiri district,26596,arunachal-pradesh
longding district,21445,arunachal-pradesh
west siang district,34295,arunachal-pradesh
kamle district,2618,arunachal-pradesh
upper siang district,12707,arunachal-pradesh
tirap district,30046,arunachal-pradesh
papum pare district,298350,arunachal-pradesh
kurung kumey district,4391,arunachal-pradesh
anjaw district,9751,arunachal-pradesh
siang district,10489,arunachal-pradesh
lower siang district,12456,arunachal-pradesh
kra daadi district,5676,arunachal-pradesh
changlang district,73842,arunachal-pradesh
pakke kessang district,3469,arunachal-pradesh
dibang valley district,899,arunachal-pradesh
west kameng district,111029,arunachal-pradesh
shi yomi district,521,arunachal-pradesh
east siang district,69710,arunachal-pradesh
upper subansiri district,24387,arunachal-pradesh
east kameng district,13421,arunachal-pradesh
lohit district,65889,arunachal-pradesh
lepa rada district,10150,arunachal-pradesh
tawang district,56016,arunachal-pradesh
namsai district,37019,arunachal-pradesh
lower dibang valley district,33455,arunachal-pradesh
lower subansiri district,31411,arunachal-pradesh
longding district,26089,arunachal-pradesh
west siang district,45207,arunachal-pradesh
kamle district,3611,arunachal-pradesh
upper siang district,19943,arunachal-pradesh
tirap district,36124,arunachal-pradesh
papum pare district,390528,arunachal-pradesh
kurung kumey district,4581,arunachal-pradesh
anjaw district,17228,arunachal-pradesh
siang district,12962,arunachal-pradesh
lower siang district,14782,arunachal-pradesh
kra daadi district,7619,arunachal-pradesh
changlang district,84852,arunachal-pradesh
pakke kessang district,3064,arunachal-pradesh
dibang valley district,1705,arunachal-pradesh
west kameng district,129575,arunachal-pradesh
shi yomi district,1103,arunachal-pradesh
east siang district,88632,arunachal-pradesh
upper subansiri district,31426,arunachal-pradesh
east kameng district,16340,arunachal-pradesh
lohit district,80530,arunachal-pradesh
lepa rada district,14338,arunachal-pradesh
tawang district,67262,arunachal-pradesh
namsai district,46762,arunachal-pradesh
lower dibang valley district,32427,arunachal-pradesh
lower subansiri district,29916,arunachal-pradesh
longding district,23962,arunachal-pradesh
west siang district,42575,arunachal-pradesh
kamle district,3092,arunachal-pradesh
upper siang district,21312,arunachal-pradesh
tirap district,32043,arunachal-pradesh
papum pare district,419891,arunachal-pradesh
kurung kumey district,4962,arunachal-pradesh
anjaw district,12823,arunachal-pradesh
siang district,13679,arunachal-pradesh
lower siang district,13231,arunachal-pradesh
kra daadi district,6393,arunachal-pradesh
changlang district,78849,arunachal-pradesh
pakke kessang district,3563,arunachal-pradesh
dibang valley district,1930,arunachal-pradesh
west kameng district,120906,arunachal-pradesh
shi yomi district,1251,arunachal-pradesh
east siang district,82357,arunachal-pradesh
upper subansiri district,28053,arunachal-pradesh
east kameng district,16281,arunachal-pradesh
lohit district,72380,arunachal-pradesh
lepa rada district,15690,arunachal-pradesh
tawang district,54137,arunachal-pradesh
namsai district,45753,arunachal-pradesh
lower dibang valley district,42091,arunachal-pradesh
lower subansiri district,40081,arunachal-pradesh
longding district,31640,arunachal-pradesh
west siang district,59341,arunachal-pradesh
kamle district,5476,arunachal-pradesh
upper siang district,25971,arunachal-pradesh
tirap district,46320,arunachal-pradesh
papum pare district,552953,arunachal-pradesh
kurung kumey district,6623,arunachal-pradesh
anjaw district,15311,arunachal-pradesh
siang district,17032,arunachal-pradesh
lower siang district,17401,arunachal-pradesh
kra daadi district,8758,arunachal-pradesh
changlang district,105461,arunachal-pradesh
pakke kessang district,4424,arunachal-pradesh
dibang valley district,1995,arunachal-pradesh
west kameng district,164866,arunachal-pradesh
shi yomi district,2135,arunachal-pradesh
east siang district,106787,arunachal-pradesh
upper subansiri district,35856,arunachal-pradesh
east kameng district,22015,arunachal-pradesh
lohit district,99686,arunachal-pradesh
lepa rada district,21273,arunachal-pradesh
tawang district,70061,arunachal-pradesh
namsai district,64781,arunachal-pradesh
lower dibang valley district,50270,arunachal-pradesh
lower subansiri district,46105,arunachal-pradesh
longding district,32638,arunachal-pradesh
west siang district,65763,arunachal-pradesh
kamle district,6064,arunachal-pradesh
upper siang district,27960,arunachal-pradesh
tirap district,47118,arunachal-pradesh
papum pare district,710098,arunachal-pradesh
kurung kumey district,7417,arunachal-pradesh
anjaw district,22621,arunachal-pradesh
siang district,17241,arunachal-pradesh
lower siang district,19324,arunachal-pradesh
kra daadi district,8974,arunachal-pradesh
changlang district,120126,arunachal-pradesh
pakke kessang district,5061,arunachal-pradesh
dibang valley district,2354,arunachal-pradesh
west kameng district,209165,arunachal-pradesh
shi yomi district,2559,arunachal-pradesh
east siang district,128957,arunachal-pradesh
upper subansiri district,46434,arunachal-pradesh
east kameng district,23739,arunachal-pradesh
lohit district,117879,arunachal-pradesh
lepa rada district,20756,arunachal-pradesh
tawang district,89052,arunachal-pradesh
namsai district,79292,arunachal-pradesh
lower dibang valley district,65302,arunachal-pradesh
lower subansiri district,60146,arunachal-pradesh
longding district,37096,arunachal-pradesh
west siang district,79050,arunachal-pradesh
kamle district,8517,arunachal-pradesh
upper siang district,41167,arunachal-pradesh
tirap district,52675,arunachal-pradesh
papum pare district,919925,arunachal-pradesh
kurung kumey district,8467,arunachal-pradesh
anjaw district,24083,arunachal-pradesh
siang district,22785,arunachal-pradesh
lower siang district,25424,arunachal-pradesh
kra daadi district,10986,arunachal-pradesh
changlang district,147432,arunachal-pradesh
pakke kessang district,6343,arunachal-pradesh
dibang valley district,2711,arunachal-pradesh
west kameng district,247346,arunachal-pradesh
shi yomi district,3066,arunachal-pradesh
east siang district,169617,arunachal-pradesh
upper subansiri district,54298,arunachal-pradesh
east kameng district,27988,arunachal-pradesh
