State,District,Latitude,Longitude,Total_world,Total_covid_count,Year_Quarter,col
nagaland,mokokchung district,26.4929778,94.8042633,5653655.116717219,3428,2018-Q1,3428
punjab,moga district,32.033379,75.3949932,59439080.88744533,32992,2018-Q1,32992
uttar-pradesh,mirzapur district,24.9325993,82.64710860698771,90490890.5074774,110239,2018-Q1,110239
jammu-&-kashmir,mirpur district,33.2033829,73.78971926402036,3052181.909064396,1320,2018-Q1,1320
haryana,mewat district,28.7312325,75.892349866212,132978792.61417452,80255,2018-Q1,80255
uttar-pradesh,meerut district,28.6859637,77.43533643685419,345744809.58975303,267015,2018-Q1,267015
telangana,medchal malkajgiri district,16.5,78.25,1912837340.5006711,1131530,2018-Q1,1131530
telangana,medak district,16.3637095,78.0647251,89096759.16651198,74192,2018-Q1,74192
odisha,mayurbhanj district,21.75,86.5,151786389.20530608,208105,2018-Q1,208105
uttar-pradesh,mau district,25.2133779,83.0334827,87473873.1545512,99946,2018-Q1,99946
uttar-pradesh,mathura district,27.5591791,77.68175451707637,190549339.0768092,161451,2018-Q1,161451
assam,marigaon district,26.70472375,92.04215071409465,105067294.498684,79832,2018-Q1,79832
punjab,mansa district,30.3360996,74.11794319222481,41535817.90595643,47047,2018-Q1,47047
karnataka,mandya district,12.6336348,76.73023183296073,141585191.42723832,105447,2018-Q1,105447
madhya-pradesh,mandsaur district,24.0697229,75.0727169,82585094.000837,97213,2018-Q1,97213
madhya-pradesh,mandla district,22.5962197,80.3702688,37490484.59254223,28899,2018-Q1,28899
himachal-pradesh,mandi district,32.5338976,76.0157454,50308276.31329341,44169,2018-Q1,44169
telangana,mancherial district,18.4424788,79.1307265573114,184652405.3695281,127357,2018-Q1,127357
mizoram,mamit district,23.909285,92.4947387,5729263.410353888,1133,2018-Q1,1133
odisha,malkangiri district,18.33798,81.8759462,13922771.65466401,12181,2018-Q1,12181
west-bengal,maldah district,25.0,88.0,283624702.4245752,491756,2018-Q1,491756
kerala,malappuram district,10.61381845,76.51663324239766,256416524.0373311,239508,2018-Q1,239508
assam,majuli district,26.70472375,92.04215071409465,1326721.023225203,2598,2018-Q1,2598
uttar-pradesh,mainpuri district,27.2307398,79.0406375,48645519.0242308,66092,2018-Q1,66092
uttar-pradesh,mahoba district,25.292924,79.8848158,30113589.580414247,36881,2018-Q1,36881
gujarat,mahisagar district,23.1916967,73.6626352964019,24228879.81974011,25888,2018-Q1,25888
gujarat,mahesana district,23.57070915,72.44523648734277,213031001.6165129,227748,2018-Q1,227748
haryana,mahendragarh district,28.3526818,77.2778173,119624307.9803069,89413,2018-Q1,89413
puducherry,mahe district,11.70086195,75.53600908707303,2456276.910513108,1512,2018-Q1,1512
telangana,mahbubnagar district,16.5,78.25,141574548.6424824,96136,2018-Q1,96136
chhattisgarh,mahasamund district,21.113837,82.092952,69201346.06665277,64238,2018-Q1,64238
uttar-pradesh,maharajganj district,27.1436733,83.5395965,120097062.4622237,105577,2018-Q1,105577
telangana,mahabubabad district,19.1040149,78.340105,81345319.08381961,73810,2018-Q1,73810
tamil-nadu,madurai district,9.9369266,78.00782300920798,232151304.34595773,129858,2018-Q1,129858
bihar,madhubani district,25.0,86.916667,203080851.021446,173946,2018-Q1,173946
bihar,madhepura district,26.7586112,94.20640848109768,85073945.80231695,79822,2018-Q1,79822
mizoram,lunglei district,23.3078982,92.8556728,2350555.318424233,1604,2018-Q1,1604
punjab,ludhiana district,30.479765,74.5354916,563038260.5420344,427197,2018-Q1,427197
uttar-pradesh,lucknow district,28.8067822,79.0140742,1271848634.413644,949749,2018-Q1,949749
arunachal-pradesh,lower subansiri district,27.8,93.6,3650727.893614269,1477,2018-Q1,1477
arunachal-pradesh,lower siang district,28.477492,94.81655728795752,2337960.7148240386,1292,2018-Q1,1292
arunachal-pradesh,lower dibang valley district,17.0347692,81.7819183,1076236.814073793,1356,2018-Q1,1356
nagaland,longleng district,26.4929778,94.8042633,547262.5934366982,605,2018-Q1,605
arunachal-pradesh,longding district,27.8,93.6,4361531.578447229,2321,2018-Q1,2321
arunachal-pradesh,lohit district,28.0060625,96.2431946,11496949.54576835,3747,2018-Q1,3747
jharkhand,lohardaga district,23.43141321078923,84.6772535683834,16349311.32551814,15716,2018-Q1,15716
arunachal-pradesh,lepa rada district,28.0060625,96.2431946,403149.46702687367,288,2018-Q1,288
ladakh,leh ladakh district,34.1642029,77.5848133,9101926.692070464,4845,2018-Q1,4845
mizoram,lawngtlai district,22.7401468,93.0509285,547180.2110017058,735,2018-Q1,735
maharashtra,latur district,18.3931679,76.56402547242254,237246239.7226338,259016,2018-Q1,259016
jharkhand,latehar district,23.916667,84.083333,35121829.70128228,20416,2018-Q1,20416
uttar-pradesh,lalitpur district,24.6967125,78.411697,44287534.395511895,56296,2018-Q1,56296
lakshadweep,lakshadweep district,10.8132489,73.6804620941119,1928611.1808777405,778,2018-Q1,778
bihar,lakhisarai district,25.2830169,86.0190997,43611675.07515131,42937,2018-Q1,42937
assam,lakhimpur district,27.2382645,94.1053145,17798094.85123946,24946,2018-Q1,24946
himachal-pradesh,lahul and spiti district,32.5338976,76.0157454,441404.9147610669,335,2018-Q1,335
uttar-pradesh,kushinagar district,26.8632735,83.9553228,220348476.4472755,216583,2018-Q1,216583
arunachal-pradesh,kurung kumey district,27.98636765,93.15783468644102,99416.58027150274,84,2018-Q1,84
haryana,kurukshetra district,30.0,76.75,172343157.3271751,110204,2018-Q1,110204
andhra-pradesh,kurnool district,15.8344103,78.0499956,764905298.7350456,679623,2018-Q1,679623
jammu-&-kashmir,kupwara district,34.5140696,74.19136702721829,17085910.32675961,11185,2018-Q1,11185
telangana,kumuram bheem asifabad district,17.0557615,79.2779955,29592040.66740245,26226,2018-Q1,26226
himachal-pradesh,kullu district,32.213356899999994,76.32112520307928,36599342.90480824,23978,2018-Q1,23978
jammu-&-kashmir,kulgam district,33.6250902,74.69488802561563,9213671.326669725,23587,2018-Q1,23587
tamil-nadu,krishnagiri district,12.5150555,78.00762134333985,253907426.24551612,153618,2018-Q1,153618
andhra-pradesh,krishna district,17.0347692,81.7819183,1284255179.61562,863935,2018-Q1,863935
arunachal-pradesh,kra daadi district,27.9366293,92.6658618,495375.1454853307,207,2018-Q1,207
kerala,kozhikode district,11.46559355,75.89194000061082,264216575.6141083,206971,2018-Q1,206971
kerala,kottayam district,9.5003001,76.8353071,132788590.2125131,102446,2018-Q1,102446
rajasthan,kota district,25.196682950000003,76.00096873038872,313545175.3534258,317338,2018-Q1,317338
chhattisgarh,korea district,20.2647118,81.4951987,44008432.87485616,39025,2018-Q1,39025
chhattisgarh,korba district,22.5198217,82.63500285150224,99366683.1364322,93345,2018-Q1,93345
odisha,koraput district,18.8848483,82.5596997,87612627.38374956,64106,2018-Q1,64106
karnataka,koppal district,15.57825725,76.31063911702896,79650000.28856131,63835,2018-Q1,63835
chhattisgarh,kondagaon district,19.25,81.25,25283402.36998293,22249,2018-Q1,22249
kerala,kollam district,8.8855684,76.5892353,93495184.48584013,76713,2018-Q1,76713
west-bengal,kolkata district,26.5257678,88.7198637,2753347660.1429114,2043129,2018-Q1,2043129
maharashtra,kolhapur district,16.5756833,74.3125599,354723905.3719445,351519,2018-Q1,351519
mizoram,kolasib district,24.2314023,92.6766193,3891685.392413744,1457,2018-Q1,1457
karnataka,kolar district,13.1794187,78.26805837975584,167783200.2327131,133622,2018-Q1,133622
assam,kokrajhar district,26.2074223,91.6771799,17935304.65287403,16397,2018-Q1,16397
nagaland,kohima district,25.6949988,94.12330065485534,20744033.40863154,11070,2018-Q1,11070
jharkhand,koderma district,24.26618475,87.25313851905128,76001334.68492848,58922,2018-Q1,58922
karnataka,kodagu district,12.2335192,76.2818865,42386913.56106545,23443,2018-Q1,23443
west-bengal,koch bihar district,26.25,89.5,88320338.70770223,155388,2018-Q1,155388
jammu-&-kashmir,kishtwar district,33.61562,75.87939724344325,3514299.9889703216,2054,2018-Q1,2054
bihar,kishanganj district,26.29863795,87.95314810923409,45880790.35124814,38179,2018-Q1,38179
nagaland,kiphire district,25.8826359,94.781588,558831.611179116,255,2018-Q1,255
himachal-pradesh,kinnaur district,31.5864184,78.396745,8101945.186458489,5815,2018-Q1,5815
jharkhand,khunti district,24.9303981,87.82697147981766,12238451.41385256,10377,2018-Q1,10377
tripura,khowai district,24.0715915,91.6025823,7242490.357963288,8838,2018-Q1,8838
odisha,khordha district,20.8431294,83.90634540989736,1064565482.443082,1013916,2018-Q1,1013916
uttar-pradesh,kheri district,28.4299696,80.3176448,110918009.4406958,176154,2018-Q1,176154
gujarat,kheda district,22.8548705,72.99330606361002,94652160.87215446,104154,2018-Q1,104154
madhya-pradesh,khargone district,21.8318939,75.6286115,135612637.1038007,108869,2018-Q1,108869
telangana,khammam district,17.250782,80.1524,245857422.1874744,183964,2018-Q1,183964
bihar,khagaria district,25.50877,86.4756484,71955894.82466315,65892,2018-Q1,65892
odisha,kendujhar district,20.7990808,82.5346304,196242627.5946798,259941,2018-Q1,259941
odisha,kendrapara district,20.5021306,86.4259806,109453626.87180772,189692,2018-Q1,189692
uttar-pradesh,kaushambi district,28.64364045,77.32463494964549,28667776.553238448,37326,2018-Q1,37326
madhya-pradesh,katni district,23.8323636,80.3920242,54955544.75398399,65116,2018-Q1,65116
bihar,katihar district,25.543251265566692,87.56777308657826,129701645.5273873,138075,2018-Q1,138075
jammu-&-kashmir,kathua district,32.5825837,75.61047967120052,22353839.21295397,17643,2018-Q1,17643
uttar-pradesh,kasganj district,27.969777,78.5981655,36239334.741878524,40039,2018-Q1,40039
kerala,kasaragod district,12.42219635,75.19044457747756,46522871.82306546,37597,2018-Q1,37597
tamil-nadu,karur district,10.8217671,78.38286541157868,76141519.7297589,42198,2018-Q1,42198
haryana,karnal district,29.6943382,77.00424800442084,247718779.06675452,169313,2018-Q1,169313
telangana,karimnagar district,18.4424788,79.1307265573114,271526470.0733862,224324,2018-Q1,224324
assam,karimganj district,24.86648155,92.35121508187882,17842353.51962607,17261,2018-Q1,17261
ladakh,kargil district,33.802819,76.4730095688732,3430931.079044319,1244,2018-Q1,1244
assam,karbi anglong district,26.0,93.5,14875159.1867853,15032,2018-Q1,15032
rajasthan,karauli district,26.51583285,77.05659651705874,87918690.56937645,97830,2018-Q1,97830
puducherry,karaikal district,10.91564885,79.80694879844232,17996501.51665456,10266,2018-Q1,10266
punjab,kapurthala district,31.25,75.25,79325181.77412872,65770,2018-Q1,65770
uttar-pradesh,kanpur nagar district,26.1561764,81.80450839427581,550298919.9825964,493390,2018-Q1,493390
uttar-pradesh,kanpur dehat district,27.2307398,79.0406375,43732800.279438965,51507,2018-Q1,51507
kerala,kannur district,11.9863343,75.54797042899436,112128543.0761299,92260,2018-Q1,92260
tamil-nadu,kanniyakumari district,11.0600516,77.0679581,72304912.26185375,44474,2018-Q1,44474
uttar-pradesh,kannauj district,27.3817304,79.602854,55371938.0412592,61395,2018-Q1,61395
chhattisgarh,kanker district,20.2647118,81.4951987,28373231.31840328,29788,2018-Q1,29788
himachal-pradesh,kangra district,32.213356899999994,76.32112520307928,83269925.3876329,62061,2018-Q1,62061
manipur,kangpokpi district,17.6913198,74.0094374,12129421.38384918,4187,2018-Q1,4187
odisha,kandhamal district,21.8895058,84.0485068,27561407.789233644,31647,2018-Q1,31647
tamil-nadu,kancheepuram district,12.87960515,79.70427615297989,538409899.0029244,308279,2018-Q1,308279
assam,kamrup metropolitan district,26.75,92.5,284766218.9848748,194617,2018-Q1,194617
assam,kamrup district,26.2074223,91.6771799,41868129.255927615,47859,2018-Q1,47859
arunachal-pradesh,kamle district,28.4,94.55,7971.330494807651,14,2018-Q1,14
manipur,kamjong district,25.0,94.5,236107.7403536682,329,2018-Q1,329
telangana,kamareddy district,16.5,78.25,101353626.96050587,84914,2018-Q1,84914
tamil-nadu,kallakkurichi district,11.690524,78.98242156692304,53643331.73237316,32666,2018-Q1,32666
west-bengal,kalimpong district,27.02787695,88.64606085772425,7706385.682244161,4972,2018-Q1,4972
odisha,kalahandi district,19.75,83.0,56923003.74994819,101889,2018-Q1,101889
karnataka,kalaburagi district,17.24191785,76.7753828143516,212180924.393686,152325,2018-Q1,152325
manipur,kakching district,24.84529,94.1449785,1924584.238445488,1622,2018-Q1,1622
haryana,kaithal district,28.4492944,77.03065871006021,149686426.21811038,98466,2018-Q1,98466
bihar,kaimur bhabua district,24.75750955,83.72099680873878,70110158.70484145,64493,2018-Q1,64493
gujarat,kachchh district,23.2396061,69.6734288,316933354.79309577,217912,2018-Q1,217912
chhattisgarh,kabirdham district,22.8825209,84.1362145,22661025.448303577,32615,2018-Q1,32615
gujarat,junagadh district,21.340255,70.42022268315017,69940293.0266568,56897,2018-Q1,56897
assam,jorhat district,26.7586112,94.20640848109768,41164542.05596451,33322,2018-Q1,33322
telangana,jogulamba gadwal district,16.5,78.25,62386167.39526133,50179,2018-Q1,50179
rajasthan,jodhpur district,26.73668055,72.87475506802181,467963867.1674503,317285,2018-Q1,317285
manipur,jiribam district,24.84529,94.1449785,3564799.4519929583,1305,2018-Q1,1305
haryana,jind district,29.5,76.25,186842136.1964325,117357,2018-Q1,117357
rajasthan,jhunjhunu district,25.196682950000003,76.00096873038872,249837885.50885952,216379,2018-Q1,216379
odisha,jharsuguda district,21.8895058,84.0485068,99628072.57447764,85127,2018-Q1,85127
west-bengal,jhargram district,22.447609,86.998449,33316470.25275091,66167,2018-Q1,66167
uttar-pradesh,jhansi district,28.6839951,77.4530398,187418140.1917497,187592,2018-Q1,187592
rajasthan,jhalawar district,24.31255575,76.52279955036622,84754167.55596045,84376,2018-Q1,84376
haryana,jhajjar district,30.0,76.75,187960033.8459023,115322,2018-Q1,115322
madhya-pradesh,jhabua district,22.6579114,75.8850109,23988491.44342114,20133,2018-Q1,20133
bihar,jehanabad district,25.46737665,85.19581528126407,47274894.9525144,52401,2018-Q1,52401
telangana,jaya shankar bhalupally district,16.5,78.25,76221067.1244818,53916,2018-Q1,53916
uttar-pradesh,jaunpur district,25.7592013,82.6968142,219620789.4796317,236534,2018-Q1,236534
chhattisgarh,jashpur district,22.8825209,84.1362145,39068620.43575929,41174,2018-Q1,41174
chhattisgarh,janjgir champa district,22.23617945,83.35295335037318,223984259.5478169,219761,2018-Q1,219761
telangana,jangaon district,17.0557615,79.2779955,81262680.16798872,80758,2018-Q1,80758
bihar,jamui district,24.7270817,84.5693914,44565632.6441077,48226,2018-Q1,48226
jharkhand,jamtara district,23.0,85.0,37530176.98115201,21925,2018-Q1,21925
gujarat,jamnagar district,22.31008,70.10300203232322,166162325.3364291,121341,2018-Q1,121341
jammu-&-kashmir,jammu district,32.7681864,74.92113175477952,127452979.3587345,81381,2018-Q1,81381
west-bengal,jalpaiguri district,26.62648365,88.73407701468993,96252642.72890764,120349,2018-Q1,120349
rajasthan,jalore district,25.343876,72.624222,75229021.17082818,63373,2018-Q1,63373
maharashtra,jalna district,19.83228,75.874466,147117543.1365394,154861,2018-Q1,154861
maharashtra,jalgaon district,24.9072406,79.5844054,346720332.5468058,332668,2018-Q1,332668
uttar-pradesh,jalaun district,26.0,79.5,63496877.79661986,90820,2018-Q1,90820
punjab,jalandhar district,31.32124525,74.84130629340785,193577710.74675983,118981,2018-Q1,118981
odisha,jajapur district,19.5,84.5,204373666.27913052,362382,2018-Q1,362382
rajasthan,jaisalmer district,27.0264162,70.77751197645885,60441094.76527367,42472,2018-Q1,42472
rajasthan,jaipur district,27.1506772,75.74701641691182,2953086960.141372,2417174,2018-Q1,2417174
telangana,jagtial district,16.3637095,78.0647251,119523180.7146184,93840,2018-Q1,93840
odisha,jagatsinghapur district,22.25,84.5,119770991.4325416,226525,2018-Q1,226525
madhya-pradesh,jabalpur district,23.22420115,79.98248901574848,336129604.0896717,294739,2018-Q1,294739
madhya-pradesh,indore district,22.71113445,75.80768747988787,1455149304.995268,1066784,2018-Q1,1066784
manipur,imphal west district,24.3429852,93.6928709,46026262.66627429,29863,2018-Q1,29863
manipur,imphal east district,17.6913198,74.0094374,26028937.81002756,21960,2018-Q1,21960
kerala,idukki district,9.7253254,77.2103161,53257161.57039655,42527,2018-Q1,42527
telangana,hyderabad district,16.5,78.25,4287223789.76588,2545507,2018-Q1,2545507
west-bengal,howrah district,22.5801698,88.3362713,350424696.862291,346838,2018-Q1,346838
punjab,hoshiarpur district,31.3410997,74.6891758,64771754.25275349,43008,2018-Q1,43008
madhya-pradesh,hoshangabad district,22.7575717,77.7188006,116991872.4572823,121682,2018-Q1,121682
west-bengal,hooghly district,22.8924411,88.3994271,299741600.337428,380589,2018-Q1,380589
assam,hojai district,26.70472375,92.04215071409465,15849610.991098093,16917,2018-Q1,16917
haryana,hisar district,29.1699202,75.7185553,355732765.7536729,240517,2018-Q1,240517
maharashtra,hingoli district,19.7222317,77.1544772,57281673.81077535,70314,2018-Q1,70314
jharkhand,hazaribagh district,24.26618475,87.25313851905128,171297280.2361688,150709,2018-Q1,150709
karnataka,haveri district,14.714635,75.38456743047416,73634849.47856122,62962,2018-Q1,62962
uttar-pradesh,hathras district,27.5996322,78.0497369,51152501.99081381,51845,2018-Q1,51845
karnataka,hassan district,13.029374,76.17429357550145,134541685.05605823,88635,2018-Q1,88635
uttarakhand,haridwar district,30.1921734,79.1874877,394604404.7086088,308588,2018-Q1,308588
uttar-pradesh,hardoi district,28.0047122,78.476874,77897802.50321592,97252,2018-Q1,97252
madhya-pradesh,harda district,22.3406138,77.0934034,50800702.05670587,43384,2018-Q1,43384
uttar-pradesh,hapur district,28.7299677,77.775499,108354118.5389479,87259,2018-Q1,87259
rajasthan,hanumangarh district,29.3659533,74.29842896506344,184278585.0950017,183162,2018-Q1,183162
himachal-pradesh,hamirpur district,31.7491333,76.5036832,34057723.752499424,60464,2018-Q1,60464
uttar-pradesh,hamirpur district,25.9522649791,80.150605438,37506250.252365,32709,2018-Q1,32709
assam,hailakandi district,24.6827307,92.5622753,11065155.715426872,15865,2018-Q1,15865
madhya-pradesh,gwalior district,26.2,78.2,437805408.20386726,354555,2018-Q1,354555
haryana,gurugram district,28.4492944,77.03065871006021,2317083393.8960967,1408070,2018-Q1,1408070
punjab,gurdaspur district,31.9042299,75.22738141098935,57534101.01561795,33787,2018-Q1,33787
andhra-pradesh,guntur district,13.0108668,79.2249071,1108686589.026682,815932,2018-Q1,815932
madhya-pradesh,guna district,24.646649,77.3079412,81652639.69518772,99030,2018-Q1,99030
jharkhand,gumla district,23.1603759,84.45995652080032,15422722.31229529,12079,2018-Q1,12079
uttar-pradesh,gorakhpur district,26.7494212,83.3665766,377954039.7917809,324943,2018-Q1,324943
bihar,gopalganj district,26.5,84.333333,141070590.5118508,107134,2018-Q1,107134
maharashtra,gondia district,19.83228,75.874466,94654514.07400316,96798,2018-Q1,96798
uttar-pradesh,gonda district,27.8306549,77.8773701,106826666.5269602,101085,2018-Q1,101085
tripura,gomati district,23.4848604,91.4983684,11277259.255102549,12229,2018-Q1,12229
assam,golaghat district,26.5305611,93.9603353,19058581.94801061,22089,2018-Q1,22089
jharkhand,godda district,25.11124865,87.58268862604885,36033979.36832302,36994,2018-Q1,36994
assam,goalpara district,24.6827307,92.5622753,25331840.51625772,27132,2018-Q1,27132
jharkhand,giridih district,24.25,85.916667,131409945.94483332,131905,2018-Q1,131905
gujarat,gir somnath district,20.9911049,70.68806405046848,50970540.98586127,49292,2018-Q1,49292
uttar-pradesh,ghazipur district,28.6643991,77.3208548,188308913.7650246,183645,2018-Q1,183645
uttar-pradesh,ghaziabad district,28.711241,77.4445372,1146504201.162562,751503,2018-Q1,751503
bihar,gaya district,25.6058077,85.088915,227470166.14682052,231873,2018-Q1,231873
uttar-pradesh,gautam buddha nagar district,28.5770068,77.3394731,2065704006.9242053,1387567,2018-Q1,1387567
chhattisgarh,gariyaband district,18.9090479,81.3427523,38684589.83509959,40648,2018-Q1,40648
jharkhand,garhwa district,24.26618475,87.25313851905128,105426064.77369867,47858,2018-Q1,47858
odisha,ganjam district,19.5,84.5,379358026.2266699,399549,2018-Q1,399549
rajasthan,ganganagar district,29.5,74.0,291145139.7629897,238689,2018-Q1,238689
gujarat,gandhinagar district,23.2813262,72.65577884095586,318002413.6906459,237393,2018-Q1,237393
jammu-&-kashmir,ganderbal district,34.28885605000001,75.02959807422316,9107649.670974826,20571,2018-Q1,20571
odisha,gajapati district,18.7716498,84.0968126,28674112.96360713,27344,2018-Q1,27344
maharashtra,gadchiroli district,20.1700227,79.97914161206661,50790947.89558024,50072,2018-Q1,50072
karnataka,gadag district,15.416337,75.68075427946448,58062529.1315764,59137,2018-Q1,59137
punjab,firozepur district,31.25,75.25,68077291.26643817,43858,2018-Q1,43858
uttar-pradesh,firozabad district,28.3800183,79.4181912,80497170.15374462,74687,2018-Q1,74687
punjab,fazilka district,30.3360996,74.11794319222481,118915901.38096192,100864,2018-Q1,100864
uttar-pradesh,fatehpur district,27.1705419,78.0107255,63961334.200748056,74858,2018-Q1,74858
punjab,fatehgarh sahib district,32.301710400000005,75.65864246622084,43563884.00230488,31868,2018-Q1,31868
haryana,fatehabad district,29.6943382,77.00424800442084,105677674.3094569,116455,2018-Q1,116455
uttar-pradesh,farrukhabad district,27.3817304,79.602854,57199648.85871872,65940,2018-Q1,65940
punjab,faridkot district,31.3410997,74.6891758,45932933.791692935,31684,2018-Q1,31684
haryana,faridabad district,28.3526818,77.2778173,772738359.1903924,521939,2018-Q1,521939
uttar-pradesh,etawah district,26.7879984,79.0061831,71410064.15001303,67994,2018-Q1,67994
uttar-pradesh,etah district,27.5562222,78.658988,46749490.71535075,41571,2018-Q1,41571
tamil-nadu,erode district,11.49052815,77.35052739885393,198072372.7811173,114560,2018-Q1,114560
kerala,ernakulam district,10.0383947,76.50741452482532,630357709.4293847,390006,2018-Q1,390006
jharkhand,east singhbhum district,23.0,85.0,257229540.6549,220276,2018-Q1,220276
arunachal-pradesh,east siang district,28.3,95.15,5533620.186295529,3286,2018-Q1,3286
madhya-pradesh,east nimar district,21.75,76.583333,82356693.06047082,71864,2018-Q1,71864
meghalaya,east khasi hills district,24.3429852,93.6928709,31807959.17537334,23283,2018-Q1,23283
arunachal-pradesh,east kameng district,27.55778095,92.96738426595108,473824.76595106337,529,2018-Q1,529
meghalaya,east jaintia hills district,24.3429852,93.6928709,8299361.376028441,4896,2018-Q1,4896
andhra-pradesh,east godavari district,17.233496,81.7225986,1235785515.599726,943935,2018-Q1,943935
meghalaya,east garo hills district,24.3429852,93.6928709,781579.3759249721,749,2018-Q1,749
delhi,east district,28.54206225591,77.295723161089,594248348.3839921,357904,2018-Q1,357904
sikkim,east district,27.329005297,88.6098698391,35907388.05486955,24432,2018-Q1,24432
chhattisgarh,durg district,21.1874054,81.2793137,274435199.82481164,226774,2018-Q1,226774
rajasthan,dungarpur district,23.6723053,73.81664192753466,42233286.88465799,29611,2018-Q1,29611
jharkhand,dumka district,24.26618475,87.25313851905128,33366389.643900424,37867,2018-Q1,37867
gujarat,dohad district,23.0216238,72.5797068,45587112.10032356,39278,2018-Q1,39278
jammu-&-kashmir,doda district,33.13260995,75.58900789003377,7065930.233463201,4108,2018-Q1,4108
dadra-&-nagar-haveli-&-daman-&-diu,diu district,20.7159534,70.9785005,6434481.929188873,5593,2018-Q1,5593
madhya-pradesh,dindori district,22.9460091,81.0751743,20882302.0254674,19124,2018-Q1,19124
tamil-nadu,dindigul district,10.42568965,77.815663999998,118771377.4496328,65863,2018-Q1,65863
nagaland,dimapur district,25.904959,93.731523,38330087.58241701,18449,2018-Q1,18449
assam,dima hasao district,25.40036255,93.07522922678903,4781136.056644153,4233,2018-Q1,4233
assam,dibrugarh district,27.4881672,95.3623358,53258765.86975428,44792,2018-Q1,44792
arunachal-pradesh,dibang valley district,28.8291044,95.95540957636018,169.88856537681642,2,2018-Q1,2
maharashtra,dhule district,20.9257339,74.7771388,148893541.0108487,139376,2018-Q1,139376
assam,dhubri district,25.543251265569022,87.56949075116762,24431277.76189988,26072,2018-Q1,26072
rajasthan,dholpur district,27.66241555,75.02799709983499,58347675.43908934,52731,2018-Q1,52731
odisha,dhenkanal district,20.6590059,85.5813728,110743455.9782972,170704,2018-Q1,170704
assam,dhemaji district,27.5945155,94.71920979201424,17004986.97044885,16037,2018-Q1,16037
karnataka,dharwad district,15.37259455,75.13728310525259,231336487.175771,204568,2018-Q1,204568
tamil-nadu,dharmapuri district,12.14561305,78.11322171666458,104176495.5090033,63975,2018-Q1,63975
madhya-pradesh,dhar district,22.7109387,75.8334557,206440756.1100848,183246,2018-Q1,183246
jharkhand,dhanbad district,25.18749095,87.74432799719577,271973005.2993548,340878,2018-Q1,340878
chhattisgarh,dhamtari district,20.7077641,81.5396928,36969406.65169988,40907,2018-Q1,40907
tripura,dhalai district,23.9551603,91.8252174,8812172.047209244,9195,2018-Q1,9195
madhya-pradesh,dewas district,22.9622115,76.048227,204604018.7796314,187518,2018-Q1,187518
gujarat,devbhumi dwarka district,22.2444759,68.96800187672852,38615229.59304487,30538,2018-Q1,30538
uttar-pradesh,deoria district,28.3778393,79.9337825,189309639.0863884,174133,2018-Q1,174133
jharkhand,deoghar district,25.11124865,87.58268862604885,91100585.73781538,70058,2018-Q1,70058
odisha,deogarh district,21.53937805145885,84.73646090732899,17727797.11255935,22191,2018-Q1,22191
uttarakhand,dehradun district,29.2185482,79.52951525,512888194.28700817,329459,2018-Q1,329459
karnataka,davanagere district,14.25041265,75.82562831445583,169137586.6290862,137819,2018-Q1,137819
rajasthan,dausa district,26.80486585,76.44374569929329,172923365.8054712,216969,2018-Q1,216969
madhya-pradesh,datia district,25.6406595,78.4559832,30601928.39677934,43232,2018-Q1,43232
assam,darrang district,26.75,92.5,21593879.067580048,28031,2018-Q1,28031
west-bengal,darjiling district,26.75,88.25,144929152.8196955,101473,2018-Q1,101473
bihar,darbhanga district,25.4374355,85.2919909,224628301.6280015,217364,2018-Q1,217364
chhattisgarh,dantewada district,18.9090479,81.3427523,12999922.810604932,8452,2018-Q1,8452
madhya-pradesh,damoh district,21.8979776,80.7917082,52032411.78231111,69994,2018-Q1,69994
dadra-&-nagar-haveli-&-daman-&-diu,daman district,20.416667,72.883333,63416803.35332493,50218,2018-Q1,50218
karnataka,dakshina kannada district,12.82133045,75.22767162650372,270072282.1008538,185407,2018-Q1,185407
west-bengal,dakshin dinajpur district,21.8360051,87.4317229,69636116.7506341,224063,2018-Q1,224063
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli district,20.32272882809029,72.96509449334391,105807098.826703,92738,2018-Q1,92738
odisha,cuttack district,20.5021306,86.4259806,391394151.5517981,487588,2018-Q1,487588
tamil-nadu,cuddalore district,11.52020705,79.33963564750636,139521484.6215473,89956,2018-Q1,89956
tamil-nadu,coimbatore district,10.81357895,77.0797776943048,913824434.6276876,533919,2018-Q1,533919
rajasthan,churu district,28.20477805,74.69129960764752,120983003.9746917,141055,2018-Q1,141055
manipur,churachandpur district,24.3429852,93.6928709,11708258.72127384,4081,2018-Q1,4081
rajasthan,chittorgarh district,24.7167691,74.47217477196013,149857248.2601915,143009,2018-Q1,143009
andhra-pradesh,chittoor district,13.0108668,79.2249071,1009621878.0870508,830324,2018-Q1,830324
uttar-pradesh,chitrakoot district,25.19631215,80.91390945066726,25820943.75496399,28904,2018-Q1,28904
karnataka,chitradurga district,14.3051049,76.52948762295526,121914949.9512167,86333,2018-Q1,86333
assam,chirang district,26.70472375,92.04215071409465,11665546.58654756,8445,2018-Q1,8445
karnataka,chikkamagaluru district,13.4005751,75.6327382353719,79877643.751937,56698,2018-Q1,56698
karnataka,chikkaballapura district,13.5883185,77.78043012088901,164073011.9008005,114026,2018-Q1,114026
gujarat,chhotaudepur district,22.8159425,70.8316013,13597431.64407777,12962,2018-Q1,12962
